         x1  x2        f1        f2        c1
0  0.795126   0  0.354175  0.000024 -0.695126
1  0.662233   0  0.213659  0.018980 -0.562233
2  0.601776   0  0.161424  0.039293 -0.501776
3  0.534027   0  0.111574  0.070742 -0.434027
4  0.488738   0  0.083370  0.096884 -0.388738
5  0.446298   0  0.060663  0.125105 -0.346298
6  0.374033   0  0.030287  0.181448 -0.274033
7  0.287300   0  0.007621  0.262861 -0.187300
8  0.250435   0  0.002544  0.302022 -0.150435
9  0.204731   0  0.000022  0.354345 -0.104731
