          x1  x2        f1        f2        c1
0   0.785014   1  0.342242  0.000225 -0.685014
1   0.766378   1  0.320784  0.001130 -0.666378
2   0.706841   1  0.256888  0.008679 -0.606841
3   0.690722   1  0.240808  0.011942 -0.590722
4   0.680050   1  0.230448  0.014388 -0.580050
5   0.673732   1  0.224422  0.015944 -0.573732
6   0.665529   1  0.216717  0.018082 -0.565529
7   0.643245   1  0.196466  0.024572 -0.543245
8   0.639459   1  0.193124  0.025773 -0.539459
9   0.605522   1  0.164448  0.037822 -0.505522
10  0.556060   1  0.126779  0.059507 -0.456060
11  0.516469   1  0.100152  0.080390 -0.416469
12  0.497319   1  0.088399  0.091616 -0.397319
13  0.453521   1  0.064273  0.120047 -0.353521
14  0.446197   1  0.060613  0.125176 -0.346197
15  0.445611   1  0.060325  0.125591 -0.345611
16  0.433990   1  0.054751  0.133963 -0.333990
17  0.372819   1  0.029866  0.182484 -0.272819
18  0.289689   1  0.008044  0.260417 -0.189689
19  0.257130   1  0.003264  0.294708 -0.157130
20  0.236955   1  0.001366  0.317020 -0.136955
21  0.220280   1  0.000411  0.336076 -0.120280
22  0.213517   1  0.000183  0.343962 -0.113517
